fecha_id,fecha,año,mes,trimestre,dia_semana,es_fin_semana,temporada
1,2022-01-01,2022,1,1,6,1,Baja
2,2022-01-02,2022,1,1,7,1,Baja
3,2022-01-03,2022,1,1,1,0,Baja
4,2022-01-04,2022,1,1,2,0,Baja
5,2022-01-05,2022,1,1,3,0,Baja
6,2022-01-06,2022,1,1,4,0,Baja
7,2022-01-07,2022,1,1,5,0,Baja
8,2022-01-08,2022,1,1,6,1,Baja
9,2022-01-09,2022,1,1,7,1,Baja
10,2022-01-10,2022,1,1,1,0,Baja
11,2022-01-11,2022,1,1,2,0,Baja
12,2022-01-12,2022,1,1,3,0,Baja
13,2022-01-13,2022,1,1,4,0,Baja
14,2022-01-14,2022,1,1,5,0,Baja
15,2022-01-15,2022,1,1,6,1,Baja
16,2022-01-16,2022,1,1,7,1,Baja
17,2022-01-17,2022,1,1,1,0,Baja
18,2022-01-18,2022,1,1,2,0,Baja
19,2022-01-19,2022,1,1,3,0,Baja
20,2022-01-20,2022,1,1,4,0,Baja
21,2022-01-21,2022,1,1,5,0,Baja
22,2022-01-22,2022,1,1,6,1,Baja
23,2022-01-23,2022,1,1,7,1,Baja
24,2022-01-24,2022,1,1,1,0,Baja
25,2022-01-25,2022,1,1,2,0,Baja
26,2022-01-26,2022,1,1,3,0,Baja
27,2022-01-27,2022,1,1,4,0,Baja
28,2022-01-28,2022,1,1,5,0,Baja
29,2022-01-29,2022,1,1,6,1,Baja
30,2022-01-30,2022,1,1,7,1,Baja
31,2022-01-31,2022,1,1,1,0,Baja
32,2022-02-01,2022,2,1,2,0,Baja
33,2022-02-02,2022,2,1,3,0,Baja
34,2022-02-03,2022,2,1,4,0,Baja
35,2022-02-04,2022,2,1,5,0,Baja
36,2022-02-05,2022,2,1,6,1,Baja
37,2022-02-06,2022,2,1,7,1,Baja
38,2022-02-07,2022,2,1,1,0,Baja
39,2022-02-08,2022,2,1,2,0,Baja
40,2022-02-09,2022,2,1,3,0,Baja
41,2022-02-10,2022,2,1,4,0,Baja
42,2022-02-11,2022,2,1,5,0,Baja
43,2022-02-12,2022,2,1,6,1,Baja
44,2022-02-13,2022,2,1,7,1,Baja
45,2022-02-14,2022,2,1,1,0,Baja
46,2022-02-15,2022,2,1,2,0,Baja
47,2022-02-16,2022,2,1,3,0,Baja
48,2022-02-17,2022,2,1,4,0,Baja
49,2022-02-18,2022,2,1,5,0,Baja
50,2022-02-19,2022,2,1,6,1,Baja
51,2022-02-20,2022,2,1,7,1,Baja
52,2022-02-21,2022,2,1,1,0,Baja
53,2022-02-22,2022,2,1,2,0,Baja
54,2022-02-23,2022,2,1,3,0,Baja
55,2022-02-24,2022,2,1,4,0,Baja
56,2022-02-25,2022,2,1,5,0,Baja
57,2022-02-26,2022,2,1,6,1,Baja
58,2022-02-27,2022,2,1,7,1,Baja
59,2022-02-28,2022,2,1,1,0,Baja
60,2022-03-01,2022,3,1,2,0,Baja
61,2022-03-02,2022,3,1,3,0,Baja
62,2022-03-03,2022,3,1,4,0,Baja
63,2022-03-04,2022,3,1,5,0,Baja
64,2022-03-05,2022,3,1,6,1,Baja
65,2022-03-06,2022,3,1,7,1,Baja
66,2022-03-07,2022,3,1,1,0,Baja
67,2022-03-08,2022,3,1,2,0,Baja
68,2022-03-09,2022,3,1,3,0,Baja
69,2022-03-10,2022,3,1,4,0,Baja
70,2022-03-11,2022,3,1,5,0,Baja
71,2022-03-12,2022,3,1,6,1,Baja
72,2022-03-13,2022,3,1,7,1,Baja
73,2022-03-14,2022,3,1,1,0,Baja
74,2022-03-15,2022,3,1,2,0,Baja
75,2022-03-16,2022,3,1,3,0,Baja
76,2022-03-17,2022,3,1,4,0,Baja
77,2022-03-18,2022,3,1,5,0,Baja
78,2022-03-19,2022,3,1,6,1,Baja
79,2022-03-20,2022,3,1,7,1,Baja
80,2022-03-21,2022,3,1,1,0,Baja
81,2022-03-22,2022,3,1,2,0,Baja
82,2022-03-23,2022,3,1,3,0,Baja
83,2022-03-24,2022,3,1,4,0,Baja
84,2022-03-25,2022,3,1,5,0,Baja
85,2022-03-26,2022,3,1,6,1,Baja
86,2022-03-27,2022,3,1,7,1,Baja
87,2022-03-28,2022,3,1,1,0,Baja
88,2022-03-29,2022,3,1,2,0,Baja
89,2022-03-30,2022,3,1,3,0,Baja
90,2022-03-31,2022,3,1,4,0,Baja
91,2022-04-01,2022,4,2,5,0,Baja
92,2022-04-02,2022,4,2,6,1,Baja
93,2022-04-03,2022,4,2,7,1,Baja
94,2022-04-04,2022,4,2,1,0,Baja
95,2022-04-05,2022,4,2,2,0,Baja
96,2022-04-06,2022,4,2,3,0,Baja
97,2022-04-07,2022,4,2,4,0,Baja
98,2022-04-08,2022,4,2,5,0,Baja
99,2022-04-09,2022,4,2,6,1,Baja
100,2022-04-10,2022,4,2,7,1,Baja
101,2022-04-11,2022,4,2,1,0,Baja
102,2022-04-12,2022,4,2,2,0,Baja
103,2022-04-13,2022,4,2,3,0,Baja
104,2022-04-14,2022,4,2,4,0,Baja
105,2022-04-15,2022,4,2,5,0,Baja
