alquiler_id,fecha_id,sucursal_id,vehiculo_id,cliente_id,empleado_id,dias_alquiler,precio_total,descuento,seguro_contratado
1,345,6,85,450,32,3,148.91,20.68,0
2,771,3,9,901,63,13,222.09,2.69,0
3,582,7,244,709,17,12,190.93,5.9,1
4,78,3,256,627,12,4,164.53,15.48,1
5,394,2,49,634,47,1,92.08,11.92,0
6,109,4,58,816,20,11,485.78,49.93,1
7,89,1,187,292,27,3,64.08,4.18,1
8,361,3,15,497,66,2,43.85,0.76,0
9,408,6,118,798,15,10,465.19,22.76,0
10,770,4,38,483,75,7,321.43,23.36,1
11,794,6,70,469,93,10,147.3,4.29,1
12,123,5,70,114,60,6,306.32,21.07,0
13,349,4,45,422,67,5,312.44,22.93,0
14,877,4,127,336,56,5,141.02,12.26,0
15,964,1,218,544,51,1,36.72,2.64,0
16,26,7,112,136,46,4,116.65,5.18,0
17,941,1,233,475,99,11,456.36,9.49,1
18,3,2,198,915,89,11,271.07,13.54,0
19,425,2,172,754,8,13,1062.26,82.02,1
20,84,6,188,180,83,7,165.59,13.88,0
21,233,8,108,772,96,6,80.59,9.2,1
22,568,1,33,382,45,9,868.39,58.93,0
23,1092,5,232,636,48,9,482.1,57.84,0
24,367,5,40,112,22,2,41.6,1.72,0
25,47,5,214,993,88,14,246.88,20.05,0
26,44,5,97,65,3,7,239.5,31.32,0
27,669,8,228,469,39,10,843.41,71.76,1
28,591,1,76,362,37,4,99.37,6.8,0
29,360,3,83,244,15,9,329.08,2.03,1
30,421,1,163,353,19,5,118.48,6.63,0
31,1023,3,235,951,41,1,57.71,1.35,1
32,302,8,174,706,15,5,534.53,58.66,0
33,51,7,113,457,46,9,304.83,4.23,0
34,570,4,12,86,69,9,319.99,40.77,0
35,1048,1,185,408,19,8,148.34,15.93,1
36,707,6,158,457,72,6,434.63,5.71,1
37,869,7,72,856,76,5,151.47,13.58,0
38,1076,6,34,956,76,8,239.07,27.11,0
39,849,3,237,728,73,11,577.05,65.37,0
40,1005,1,155,855,75,14,200.07,9.12,1
41,538,5,242,128,84,13,156.19,15.6,1
42,502,1,62,784,36,8,186.03,13.76,0
43,529,8,62,383,66,8,985.18,108.31,0
44,655,8,70,366,21,10,494.04,3.92,1
45,598,2,264,199,99,6,245.85,23.16,0
46,617,5,186,99,69,6,275.75,23.99,0
47,994,7,175,944,21,9,205.33,3.15,0
48,1077,2,214,472,10,13,225.97,3.95,0
49,743,3,227,912,77,6,249.65,19.59,1
50,243,4,66,878,89,5,162.3,3.47,0
51,161,7,58,80,3,4,204.5,23.76,1
52,1052,1,241,122,33,2,40.66,0.26,1
53,421,4,95,687,45,13,276.09,1.21,0
54,1026,4,259,584,9,6,677.43,10.07,0
55,352,1,51,947,28,4,189.71,26.19,1
56,220,3,182,389,55,10,1048.86,33.71,0
57,254,8,57,533,18,13,310.4,23.09,1
58,672,8,60,395,37,12,1175.39,80.56,1
59,877,4,36,917,61,9,173.32,24.41,1
60,216,7,225,536,85,11,164.45,16.69,0
61,209,3,34,373,26,7,188.65,9.58,1
62,1023,5,140,775,83,14,339.46,48.03,1
63,993,5,76,787,59,10,590.03,9.56,1
64,276,1,51,756,7,4,147.19,18.33,1
65,670,3,156,637,80,7,182.32,2.63,0
66,1020,8,259,268,70,4,128.44,6.62,0
67,645,7,227,471,5,2,85.81,0.42,1
68,797,8,57,583,87,7,149.41,10.99,1
69,115,7,135,507,76,14,603.77,87.93,1
70,93,3,188,358,95,1,73.01,6.4,1
71,732,7,180,58,85,7,131.33,4.81,0
72,135,5,59,346,22,2,279.4,0.83,1
73,1055,7,137,21,90,11,566.95,39.94,0
74,201,8,52,708,87,10,860.51,26.58,1
75,893,4,255,651,10,10,551.89,69.57,0
76,824,4,48,735,75,1,82.7,1.18,1
77,974,7,108,356,10,10,672.28,65.7,1
78,410,7,206,258,80,11,1005.82,77.76,0
79,383,8,110,677,96,12,966.23,135.96,1
80,1070,4,187,474,19,12,630.42,22.73,1
81,132,4,212,274,37,6,240.26,23.28,1
82,394,1,126,817,40,4,84.54,5.89,1
83,559,3,15,265,36,1,44.04,4.35,0
84,114,2,161,617,39,8,712.25,92.65,1
85,813,3,121,115,74,11,1523.66,167.86,0
86,251,6,169,853,75,2,161.14,17.82,0
87,439,5,226,419,33,3,50.56,6.54,0
88,232,6,217,487,88,6,323.95,11.97,1
89,632,1,18,862,95,8,217.25,21.58,0
90,744,2,122,879,57,9,214.62,12.51,1
91,483,5,108,881,21,2,211.42,29.04,1
92,1007,8,212,949,43,5,114.66,12.34,0
93,721,7,168,465,89,5,200.51,0.82,0
94,279,1,206,205,81,8,357.25,16.37,0
95,267,7,164,463,62,4,100.65,13.19,0
96,671,5,102,87,54,11,684.56,37.75,1
97,48,4,46,998,60,4,161.66,4.81,0
98,533,3,46,982,48,10,437.2,11.16,0
99,930,8,61,230,92,9,701.33,21.37,1
100,884,4,111,844,37,8,914.72,99.71,0
101,59,5,135,242,80,7,156.38,10.58,0
102,176,1,241,137,42,11,1397.74,204.29,1
103,525,2,49,571,8,7,303.35,2.37,0
104,94,1,130,517,80,10,411.51,23.51,1
105,368,5,87,516,64,9,440.88,61.52,1
106,887,3,134,120,41,6,97.57,0.65,0
107,881,5,135,628,98,12,396.58,55.13,1
108,1007,3,226,55,25,6,131.37,2.93,0
109,957,7,60,917,64,8,108.49,0.66,1
110,304,2,179,96,27,8,236.6,30.81,0
111,435,1,270,786,74,9,406.45,11.01,0
112,674,1,146,698,88,11,230.37,4.22,1
113,943,8,233,644,35,3,109.56,9.77,0
114,928,6,67,217,7,11,692.3,83.24,1
115,782,2,205,262,23,12,596.37,21.48,1
116,796,7,146,663,97,14,309.15,44.26,0
117,636,3,184,682,13,8,403.36,50.34,0
118,867,2,217,831,48,7,242.69,22.35,1
119,950,4,80,954,64,1,20.11,1.59,0
120,979,5,77,131,88,7,523.95,70.96,0
121,157,1,263,111,66,10,286.68,18.27,0
122,519,6,131,600,11,12,616.43,71.07,0
123,374,7,24,86,54,11,866.93,114.01,1
124,922,5,175,990,24,12,1414.08,44.77,0
125,37,1,203,120,2,2,233.64,6.02,1
126,997,5,185,708,87,7,401.63,58.02,1
127,391,2,9,713,25,3,153.73,19.81,0
128,893,4,45,309,99,3,158.98,11.05,1
129,313,8,249,483,3,2,34.66,4.47,0
130,803,1,171,9,14,10,282.95,26.76,1
131,596,1,250,410,63,12,433.22,33.36,1
132,865,6,33,275,83,1,40.45,2.53,1
133,711,8,224,22,21,10,529.01,22.85,0
134,450,6,240,135,38,8,250.0,27.11,1
135,968,3,107,290,89,11,601.61,67.61,1
136,1008,2,213,966,64,4,51.75,2.36,0
137,732,3,90,848,65,6,172.85,0.83,0
138,248,4,250,265,44,2,188.46,22.19,0
139,1056,2,26,949,57,14,903.89,108.33,0
140,209,1,260,108,22,10,890.29,84.12,0
141,905,8,51,158,83,12,660.13,36.02,0
142,14,4,243,350,37,8,237.57,18.0,0
143,739,4,78,772,97,12,1190.09,94.55,0
144,940,6,16,454,19,7,204.26,23.6,0
145,337,7,32,403,98,6,259.38,1.44,0
146,1065,5,215,412,88,12,1074.84,112.99,1
147,1081,3,207,457,83,1,101.77,3.13,1
148,618,2,19,551,43,7,932.53,54.55,0
149,640,6,82,24,4,2,120.56,16.1,1
150,1035,2,31,862,48,12,290.73,11.33,1
151,256,8,153,587,95,13,344.63,0.27,1
152,1093,4,180,307,37,10,410.5,41.07,0
153,672,4,185,466,13,12,539.43,11.86,1
154,267,8,110,457,10,2,33.0,1.83,1
155,868,8,251,750,54,10,349.84,43.23,0
156,1052,2,109,467,61,12,294.93,1.44,0
157,226,2,190,586,38,10,684.56,4.14,0
158,622,5,249,29,19,5,269.19,5.74,1
159,1002,1,63,561,45,5,199.4,2.02,0
160,927,6,194,487,93,10,323.36,40.44,0
161,922,8,77,888,94,11,433.12,21.13,1
162,94,8,143,662,12,7,130.98,17.01,0
163,175,4,28,981,73,11,1121.36,87.76,1
164,369,1,141,806,27,11,322.98,11.88,1
165,93,8,12,349,56,10,742.54,20.11,0
166,204,3,147,148,24,5,376.38,14.43,0
167,121,6,93,28,92,7,187.5,1.65,1
168,664,5,193,965,16,3,130.29,1.01,0
169,789,2,138,63,41,9,247.72,17.27,1
170,479,1,138,568,76,1,43.33,4.39,0
171,172,4,73,383,70,10,240.67,35.57,0
172,952,5,86,1,8,8,326.69,45.74,1
173,779,6,109,600,66,5,681.48,28.76,0
174,252,3,144,900,56,2,86.23,2.73,1
175,928,5,126,679,42,5,715.11,36.65,1
176,5,8,3,924,2,12,614.51,62.01,1
177,159,1,228,689,16,9,262.22,13.88,1
178,18,2,237,380,25,3,306.63,20.45,0
179,733,4,47,836,79,11,578.44,54.25,0
180,1010,4,4,201,82,6,122.21,7.26,1
181,360,2,66,764,9,9,157.95,3.02,0
182,1092,5,233,3,55,14,899.8,86.51,0
183,562,2,266,478,64,14,1509.53,81.85,0
184,1091,8,162,6,51,5,87.55,2.56,0
185,868,2,128,202,22,4,381.2,18.82,0
186,50,6,129,254,14,8,194.56,13.82,1
187,150,8,49,641,58,9,452.65,39.31,0
188,134,3,32,942,57,7,161.93,1.33,1
189,107,5,196,412,13,11,226.14,20.94,1
190,22,8,197,476,55,13,553.22,73.02,0
191,930,6,99,111,14,11,1469.39,2.71,0
192,525,6,216,493,93,3,126.59,11.79,0
193,262,5,224,526,84,13,159.44,18.04,1
194,703,5,189,994,2,8,110.82,8.61,0
195,112,7,177,201,26,9,253.73,24.38,0
196,958,6,172,631,39,4,192.09,12.06,0
197,1016,4,2,655,29,13,681.07,70.82,1
198,679,7,106,410,24,8,131.26,16.26,0
199,236,3,149,451,25,2,113.18,10.72,1
200,357,4,135,737,23,4,87.91,4.48,0
201,537,2,11,852,87,1,13.06,0.27,0
202,758,6,88,964,68,5,294.74,43.2,1
203,268,4,99,546,49,3,86.48,9.01,1
204,388,5,77,336,32,4,233.68,1.87,1
205,429,2,241,810,85,10,461.73,42.59,0
206,1022,8,92,330,92,13,652.38,36.59,1
207,75,4,113,917,26,5,180.68,12.25,0
208,773,3,192,261,71,5,97.0,1.23,0
209,85,8,263,637,44,9,761.91,48.7,1
210,650,5,196,26,23,6,235.58,15.61,1
211,1028,2,142,949,30,2,82.6,1.22,0
212,403,6,129,310,96,9,475.27,58.14,1
213,535,1,154,289,45,10,479.68,56.35,1
214,967,3,204,234,30,13,690.38,74.91,0
215,960,8,175,811,11,9,186.26,8.75,0
216,922,1,192,143,74,7,309.34,40.54,1
217,727,6,116,430,55,13,622.17,64.0,1
218,66,3,79,976,43,10,728.37,62.08,1
219,792,4,244,112,43,7,115.57,9.87,1
220,364,1,251,28,24,3,151.51,4.52,1
221,1074,2,233,59,48,4,219.95,17.11,0
222,227,3,215,490,96,7,543.57,5.61,0
223,973,3,159,602,26,5,72.97,5.5,1
224,913,2,205,620,32,1,71.79,5.66,1
225,187,5,234,356,90,10,285.47,36.08,1
226,359,7,128,184,80,14,786.8,86.54,1
227,196,7,23,246,21,3,161.91,6.65,1
228,445,8,211,781,71,12,1045.41,19.01,1
229,668,7,231,169,33,9,248.99,7.74,0
230,946,7,176,764,52,2,42.22,5.42,1
231,280,6,238,497,60,5,105.73,1.08,0
232,331,3,10,622,13,8,180.51,4.8,0
233,23,5,79,452,46,2,42.74,1.14,0
234,1071,2,200,707,40,12,245.73,16.37,0
235,512,6,123,205,12,13,515.21,1.24,0
236,130,4,50,817,86,14,552.42,13.91,0
237,670,6,98,640,27,9,341.44,47.85,1
238,731,6,89,16,52,4,70.84,6.95,0
239,571,6,23,69,28,8,142.09,8.76,1
240,352,5,49,615,42,9,803.88,118.34,1
241,652,8,35,344,3,3,79.06,7.22,1
242,1032,1,120,22,79,11,603.2,68.67,0
243,499,2,31,141,48,12,699.41,52.32,0
244,488,8,169,138,36,4,105.68,5.03,0
245,49,4,170,351,32,14,640.77,19.78,0
246,782,6,94,453,81,12,522.14,0.47,1
247,290,4,65,94,23,1,26.34,2.34,0
248,957,5,85,739,26,2,77.64,2.85,0
249,413,5,247,82,47,5,128.82,7.7,0
250,888,3,247,21,98,7,245.52,14.05,0
251,360,5,195,475,40,9,930.01,63.28,1
252,962,4,80,939,25,6,102.56,0.06,1
253,765,7,251,316,83,7,288.15,42.68,0
254,333,4,224,981,33,2,38.16,4.41,1
255,119,7,218,754,32,12,568.36,20.66,0
256,303,5,234,967,88,12,1541.62,34.08,0
257,788,7,42,531,25,2,33.25,4.37,0
258,1092,7,158,752,53,12,386.77,43.65,0
259,706,3,138,767,27,10,888.54,123.95,1
260,4,2,36,793,90,3,202.78,12.71,1
261,768,3,69,203,63,7,729.33,19.91,0
262,412,1,94,829,98,14,619.52,17.83,1
263,341,2,151,88,49,10,421.84,7.89,0
264,994,2,5,63,35,10,536.35,60.48,0
265,15,7,267,986,98,4,100.89,4.02,1
266,760,6,162,837,31,10,340.12,48.01,1
267,677,2,2,468,90,1,59.51,3.59,0
268,573,4,189,463,80,2,183.62,18.9,1
269,660,1,185,895,6,4,160.25,23.31,1
270,167,6,220,962,61,10,198.76,29.42,0
271,294,1,66,510,12,10,307.31,13.89,1
272,494,4,109,175,97,2,49.64,7.03,0
273,669,7,144,226,93,12,438.31,16.94,1
274,1008,2,171,893,29,3,280.58,39.22,0
275,782,7,120,229,34,12,1184.96,20.56,0
276,386,2,189,131,41,6,164.43,23.53,0
277,795,7,164,790,47,10,608.54,72.8,0
278,944,6,75,836,38,7,84.39,10.6,1
279,71,6,159,515,89,10,182.67,3.38,1
280,772,1,171,157,92,5,135.21,4.27,0
281,803,5,82,23,71,14,348.25,20.49,1
282,148,5,145,714,25,13,435.23,45.77,1
283,111,5,235,671,21,6,165.14,14.3,1
284,401,1,186,744,74,3,92.81,1.42,0
285,116,2,183,998,61,11,437.62,11.79,0
286,889,3,207,251,5,11,823.15,14.67,1
287,354,7,46,797,60,12,436.15,56.58,1
288,24,2,60,85,16,11,1291.02,94.74,0
289,983,5,49,814,76,10,955.95,25.97,1
290,667,2,95,416,90,10,297.53,0.88,1
291,255,4,61,186,77,14,1157.96,120.75,0
292,423,3,45,576,33,2,57.1,7.29,0
293,352,7,1,255,39,9,206.87,1.43,1
294,641,6,262,215,89,10,199.24,2.96,0
295,441,3,111,606,46,4,51.4,2.14,1
296,335,7,234,86,33,5,361.71,36.71,0
297,395,6,262,620,21,11,180.36,11.35,0
298,507,2,139,128,69,7,510.53,8.42,1
299,684,5,75,890,29,11,413.62,16.98,0
300,253,3,270,746,40,7,165.3,14.6,1
301,578,5,51,919,7,6,518.49,13.28,1
302,1089,7,245,607,17,13,356.37,13.85,0
303,548,1,190,725,100,7,107.84,4.03,1
304,960,5,142,976,55,8,191.12,14.92,0
305,626,7,161,866,12,14,1402.43,133.51,0
306,174,5,253,828,2,3,46.36,6.69,1
307,1091,2,208,15,79,8,201.2,5.74,0
308,501,1,230,988,22,9,494.94,50.08,0
309,1053,6,27,433,64,6,102.22,5.81,1
310,242,5,154,495,38,11,445.45,17.69,0
311,1056,1,238,914,80,5,117.16,14.91,0
312,612,6,55,6,45,10,590.48,78.85,0
313,1008,4,44,542,66,1,29.42,3.96,1
314,513,4,241,405,48,1,38.8,1.74,1
315,899,8,83,144,46,13,472.05,52.9,0
316,584,1,69,405,54,4,405.25,45.22,0
317,545,2,216,501,71,4,188.7,14.03,0
318,797,3,57,981,14,9,883.22,105.02,0
319,485,1,176,440,77,9,181.23,20.05,1
320,879,4,79,747,66,5,174.02,4.88,1
321,879,4,243,724,14,12,485.43,51.05,0
322,470,2,68,411,5,11,463.67,19.05,0
323,187,1,195,418,68,1,26.16,1.2,0
324,1045,7,27,312,15,7,173.54,7.01,1
325,98,3,21,1,7,7,754.98,74.79,1
326,207,7,95,259,63,8,182.41,9.95,1
327,267,6,185,760,47,11,221.5,24.68,1
328,787,2,55,134,81,5,176.8,19.69,0
329,396,8,51,77,70,11,991.73,92.08,1
330,90,3,99,429,71,9,195.9,20.91,1
331,894,2,248,430,68,11,1076.06,150.33,0
332,265,5,24,979,73,5,215.74,1.97,0
333,1052,2,85,449,97,11,390.0,29.79,1
334,8,3,112,607,90,5,220.69,0.29,1
335,550,2,88,230,6,14,1119.05,89.56,1
