gasto_id,fecha_id,sucursal_id,tipo_gasto,monto,descripcion
1,69,5,Marketing,1835.2,Marketing - Sucursal 3
2,219,5,Marketing,1481.79,Marketing - Sucursal 8
3,545,8,Marketing,936.07,Marketing - Sucursal 6
4,937,5,Personal,1992.21,Personal - Sucursal 6
5,699,7,Personal,2058.86,Personal - Sucursal 1
6,1001,1,Combustible,458.57,Combustible - Sucursal 8
7,950,7,Seguros,377.92,Seguros - Sucursal 4
8,776,2,Personal,2149.72,Personal - Sucursal 2
9,604,8,Marketing,319.1,Marketing - Sucursal 3
10,184,3,Combustible,285.57,Combustible - Sucursal 6
11,429,1,Combustible,353.69,Combustible - Sucursal 1
12,430,7,Mantenimiento,306.5,Mantenimiento - Sucursal 4
13,58,1,Alquiler Local,2325.48,Alquiler Local - Sucursal 6
14,753,6,Combustible,517.93,Combustible - Sucursal 2
15,141,2,Alquiler Local,852.8,Alquiler Local - Sucursal 8
16,569,4,Seguros,1027.35,Seguros - Sucursal 3
17,928,2,Personal,1737.43,Personal - Sucursal 6
18,712,6,Combustible,614.43,Combustible - Sucursal 5
19,703,5,Alquiler Local,991.57,Alquiler Local - Sucursal 8
20,1003,2,Mantenimiento,83.71,Mantenimiento - Sucursal 2
21,26,5,Mantenimiento,310.4,Mantenimiento - Sucursal 4
22,783,2,Personal,2247.89,Personal - Sucursal 8
23,355,2,Combustible,412.02,Combustible - Sucursal 8
24,486,4,Marketing,1072.9,Marketing - Sucursal 7
25,181,2,Alquiler Local,2176.2,Alquiler Local - Sucursal 8
26,238,7,Combustible,587.05,Combustible - Sucursal 8
27,216,6,Alquiler Local,1439.72,Alquiler Local - Sucursal 8
28,1063,8,Mantenimiento,485.95,Mantenimiento - Sucursal 2
29,94,2,Combustible,652.98,Combustible - Sucursal 8
30,1052,4,Combustible,689.85,Combustible - Sucursal 8
31,670,5,Marketing,1186.41,Marketing - Sucursal 6
32,175,1,Combustible,793.99,Combustible - Sucursal 3
33,504,5,Personal,2242.08,Personal - Sucursal 7
34,620,6,Alquiler Local,2432.72,Alquiler Local - Sucursal 2
35,180,4,Combustible,456.93,Combustible - Sucursal 7
36,331,2,Personal,2131.58,Personal - Sucursal 4
37,416,2,Alquiler Local,1850.5,Alquiler Local - Sucursal 2
38,407,6,Alquiler Local,1613.79,Alquiler Local - Sucursal 6
39,476,7,Marketing,1631.95,Marketing - Sucursal 4
40,545,5,Marketing,1065.6,Marketing - Sucursal 1
41,500,7,Seguros,474.85,Seguros - Sucursal 8
42,209,4,Mantenimiento,126.11,Mantenimiento - Sucursal 8
43,459,6,Alquiler Local,915.94,Alquiler Local - Sucursal 3
44,440,2,Personal,2439.63,Personal - Sucursal 1
45,959,1,Alquiler Local,1991.38,Alquiler Local - Sucursal 2
46,484,5,Mantenimiento,162.24,Mantenimiento - Sucursal 1
47,822,2,Personal,2213.21,Personal - Sucursal 1
48,237,7,Mantenimiento,295.96,Mantenimiento - Sucursal 3
49,26,2,Personal,2112.62,Personal - Sucursal 6
50,752,2,Seguros,933.12,Seguros - Sucursal 7
51,828,8,Alquiler Local,2089.66,Alquiler Local - Sucursal 5
52,227,4,Combustible,545.05,Combustible - Sucursal 5
53,702,3,Seguros,846.61,Seguros - Sucursal 8
54,426,8,Seguros,499.03,Seguros - Sucursal 8
55,449,3,Alquiler Local,1955.12,Alquiler Local - Sucursal 7
56,824,3,Combustible,485.82,Combustible - Sucursal 2
57,576,7,Seguros,817.96,Seguros - Sucursal 2
58,797,6,Seguros,357.55,Seguros - Sucursal 1
59,368,6,Seguros,1066.26,Seguros - Sucursal 8
60,866,8,Personal,2516.02,Personal - Sucursal 8
61,658,7,Marketing,796.63,Marketing - Sucursal 1
62,421,6,Personal,2676.01,Personal - Sucursal 7
63,517,4,Personal,2908.52,Personal - Sucursal 8
64,342,4,Combustible,611.56,Combustible - Sucursal 4
65,927,2,Alquiler Local,1806.28,Alquiler Local - Sucursal 8
66,472,4,Marketing,864.74,Marketing - Sucursal 6
67,1009,8,Alquiler Local,1978.95,Alquiler Local - Sucursal 3
68,199,7,Alquiler Local,2336.27,Alquiler Local - Sucursal 5
69,128,6,Alquiler Local,1107.03,Alquiler Local - Sucursal 7
70,1029,1,Mantenimiento,209.51,Mantenimiento - Sucursal 4
71,301,4,Alquiler Local,1423.93,Alquiler Local - Sucursal 1
72,426,2,Seguros,509.27,Seguros - Sucursal 2
73,516,4,Mantenimiento,115.49,Mantenimiento - Sucursal 2
74,755,3,Alquiler Local,1823.92,Alquiler Local - Sucursal 6
75,137,2,Personal,1769.6,Personal - Sucursal 5
76,275,6,Mantenimiento,464.41,Mantenimiento - Sucursal 3
77,394,5,Mantenimiento,272.27,Mantenimiento - Sucursal 7
78,256,7,Marketing,1998.16,Marketing - Sucursal 5
79,733,7,Personal,2769.17,Personal - Sucursal 4
80,945,4,Alquiler Local,2003.39,Alquiler Local - Sucursal 1
81,703,1,Marketing,502.35,Marketing - Sucursal 7
82,777,6,Marketing,911.5,Marketing - Sucursal 2
83,258,5,Combustible,536.22,Combustible - Sucursal 8
84,339,4,Personal,2988.17,Personal - Sucursal 8
85,480,1,Alquiler Local,1518.24,Alquiler Local - Sucursal 7
86,440,3,Combustible,193.73,Combustible - Sucursal 6
87,933,1,Marketing,335.29,Marketing - Sucursal 2
88,446,2,Marketing,1238.27,Marketing - Sucursal 7
89,397,8,Marketing,1286.02,Marketing - Sucursal 1
90,962,1,Combustible,350.31,Combustible - Sucursal 1
91,528,2,Combustible,542.75,Combustible - Sucursal 6
92,296,2,Alquiler Local,1112.99,Alquiler Local - Sucursal 7
93,203,1,Combustible,236.08,Combustible - Sucursal 3
94,707,2,Mantenimiento,60.91,Mantenimiento - Sucursal 6
95,468,8,Combustible,213.13,Combustible - Sucursal 2
96,536,7,Combustible,668.56,Combustible - Sucursal 8
97,988,3,Combustible,290.18,Combustible - Sucursal 2
98,1039,3,Seguros,704.82,Seguros - Sucursal 6
99,679,4,Mantenimiento,464.7,Mantenimiento - Sucursal 3
100,1093,2,Mantenimiento,350.27,Mantenimiento - Sucursal 6
101,965,4,Combustible,255.39,Combustible - Sucursal 5
102,405,4,Mantenimiento,103.52,Mantenimiento - Sucursal 6
103,845,6,Alquiler Local,1279.93,Alquiler Local - Sucursal 4
104,757,3,Alquiler Local,2338.06,Alquiler Local - Sucursal 1
105,504,1,Seguros,608.57,Seguros - Sucursal 6
106,686,1,Mantenimiento,170.44,Mantenimiento - Sucursal 5
107,327,4,Alquiler Local,848.17,Alquiler Local - Sucursal 1
108,907,6,Marketing,1251.33,Marketing - Sucursal 6
109,135,3,Combustible,349.57,Combustible - Sucursal 2
110,823,3,Personal,2826.05,Personal - Sucursal 1
111,332,1,Personal,2042.14,Personal - Sucursal 1
112,46,8,Personal,1628.11,Personal - Sucursal 1
113,815,2,Mantenimiento,392.46,Mantenimiento - Sucursal 7
114,518,2,Seguros,987.28,Seguros - Sucursal 4
115,564,1,Mantenimiento,346.48,Mantenimiento - Sucursal 4
116,255,5,Personal,2261.01,Personal - Sucursal 3
117,163,1,Alquiler Local,1623.54,Alquiler Local - Sucursal 5
118,517,3,Alquiler Local,1717.75,Alquiler Local - Sucursal 6
119,439,2,Mantenimiento,460.33,Mantenimiento - Sucursal 1
120,813,6,Combustible,307.7,Combustible - Sucursal 7
121,374,4,Seguros,538.94,Seguros - Sucursal 3
122,757,5,Marketing,1519.12,Marketing - Sucursal 6
123,168,4,Marketing,355.33,Marketing - Sucursal 6
124,628,3,Marketing,864.89,Marketing - Sucursal 3
125,232,4,Alquiler Local,1040.54,Alquiler Local - Sucursal 3
126,412,6,Combustible,315.64,Combustible - Sucursal 6
127,186,8,Mantenimiento,77.15,Mantenimiento - Sucursal 8
128,887,8,Mantenimiento,105.43,Mantenimiento - Sucursal 3
129,964,4,Alquiler Local,2411.38,Alquiler Local - Sucursal 8
130,214,8,Personal,2924.82,Personal - Sucursal 8
131,738,1,Seguros,523.34,Seguros - Sucursal 5
132,459,7,Seguros,1102.64,Seguros - Sucursal 5
133,832,1,Alquiler Local,1447.33,Alquiler Local - Sucursal 2
134,11,7,Alquiler Local,1320.74,Alquiler Local - Sucursal 7
135,512,5,Alquiler Local,1111.74,Alquiler Local - Sucursal 7
136,924,2,Personal,2360.69,Personal - Sucursal 6
137,538,4,Mantenimiento,369.71,Mantenimiento - Sucursal 1
138,1018,8,Combustible,616.56,Combustible - Sucursal 7
139,427,2,Seguros,303.48,Seguros - Sucursal 7
140,875,2,Mantenimiento,272.82,Mantenimiento - Sucursal 1
141,734,5,Alquiler Local,2020.23,Alquiler Local - Sucursal 5
142,383,4,Mantenimiento,242.53,Mantenimiento - Sucursal 2
143,112,5,Personal,2393.54,Personal - Sucursal 3
144,116,1,Seguros,388.38,Seguros - Sucursal 2
145,1053,4,Alquiler Local,1329.14,Alquiler Local - Sucursal 4
146,1058,2,Alquiler Local,951.81,Alquiler Local - Sucursal 4
147,588,1,Personal,2190.28,Personal - Sucursal 8
148,6,5,Personal,2614.95,Personal - Sucursal 7
149,982,5,Seguros,497.2,Seguros - Sucursal 8
150,415,6,Marketing,551.4,Marketing - Sucursal 8
151,535,1,Alquiler Local,812.54,Alquiler Local - Sucursal 2
152,749,4,Marketing,238.61,Marketing - Sucursal 5
153,390,4,Seguros,971.76,Seguros - Sucursal 5
154,618,6,Mantenimiento,387.71,Mantenimiento - Sucursal 7
155,117,8,Personal,2630.44,Personal - Sucursal 5
156,819,6,Marketing,321.36,Marketing - Sucursal 8
157,950,6,Personal,2772.74,Personal - Sucursal 2
158,301,2,Marketing,989.08,Marketing - Sucursal 3
159,793,7,Personal,2336.2,Personal - Sucursal 6
160,844,7,Mantenimiento,244.5,Mantenimiento - Sucursal 1
161,395,1,Mantenimiento,433.45,Mantenimiento - Sucursal 7
162,389,1,Personal,2086.2,Personal - Sucursal 5
163,17,3,Combustible,188.61,Combustible - Sucursal 4
164,1088,2,Alquiler Local,2192.02,Alquiler Local - Sucursal 3
165,996,6,Seguros,722.39,Seguros - Sucursal 8
166,784,1,Combustible,109.51,Combustible - Sucursal 4
167,184,6,Seguros,431.06,Seguros - Sucursal 3
168,697,7,Mantenimiento,199.33,Mantenimiento - Sucursal 5
169,291,4,Alquiler Local,2413.73,Alquiler Local - Sucursal 6
170,370,3,Marketing,1787.49,Marketing - Sucursal 3
171,541,2,Combustible,367.18,Combustible - Sucursal 5
172,541,7,Mantenimiento,298.92,Mantenimiento - Sucursal 7
173,49,5,Combustible,334.86,Combustible - Sucursal 2
174,461,7,Combustible,314.51,Combustible - Sucursal 1
175,389,1,Alquiler Local,2086.5,Alquiler Local - Sucursal 4
176,640,4,Personal,2158.01,Personal - Sucursal 6
